position_key	move_uci	probability	observations
r1bqk1nr/pppp1ppp/2n5/b3p3/2B1P3/2P2N2/P2P1PPP/RNBQK2R w KQkq -	d2d4	1.000000	9
r1bqk1nr/pppp1ppp/2n5/b7/2BpP3/2P2N2/P4PPP/RNBQK2R w KQkq -	e1g1	0.888889	9
r1bqkb1r/ppp2ppp/2p2n2/8/4P3/3P4/PPP2PPP/RNBQKB1R b KQkq -	f8c5	1.000000	10
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3P4/PPP1BPPP/RNBQK2R b KQkq -	h7h5	0.800000	5
r1bqkbnr/1p1ppppp/p1n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	b5c6	1.000000	4
r1bqkbnr/1p2pppp/p1p5/2p5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	d2d4	0.500000	2
rnbqkbnr/pppp1ppp/8/4p3/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq -	e5d4	1.000000	4
rnbqkbnr/pppp1ppp/8/8/3Q4/4P3/PPP2PPP/RNB1KBNR b KQkq -	b8c6	1.000000	2
r1bqkbnr/pppp1ppp/2n5/8/8/4P3/PPP2PPP/RNBQKBNR b KQkq -	d7d5	1.000000	2
rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -	b8c6	0.714286	7
rnbqkb1r/pppp1ppp/8/4N3/2B1n3/8/PPPP1PPP/RNBQK2R b KQkq -	d8e7	0.600000	5
rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	g1f3	0.600000	5
rn1qkbnr/pbpppppp/1p6/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	b1c3	1.000000	3
rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -	d2d4	1.000000	2
rn1qk1nr/pbpp1ppp/1p2p3/8/1b1PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -	f1d3	0.666667	3
r1bqkbnr/pppp1ppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R b KQkq -	d8e7	1.000000	11
r1b1kbnr/ppppqppp/2n5/4P3/8/2N2N2/PPP1PPPP/R1BQKB1R b KQkq -	c6e5	1.000000	6
r1b1kbnr/ppppqppp/8/4N3/8/2N5/PPP1PPPP/R1BQKB1R b KQkq -	e7e5	1.000000	5
r1b1kbnr/pppp1ppp/8/4q3/8/2N3P1/PPP1PP1P/R1BQKB1R b KQkq -	f8b4	0.666667	3
r1bqk1nr/pppp1ppp/2n5/2b5/2B1P3/2p2N2/P4PPP/RNBQ1RK1 w kq -	c4f7	1.000000	4
r1bq2nr/pppp1kpp/2n5/2b5/4P3/2p2N2/P4PPP/RNBQ1RK1 w - -	d1d5	1.000000	3
r1bqk1nr/pppp2pp/2n5/2bQ4/4P3/2p2N2/P4PPP/RNB2RK1 w - -	d5h5	1.000000	2
r1bk1r2/1ppp3p/2n1q1p1/p2NP3/1n6/B4N2/P2Q1PPP/R4RK1 w - -	d5f4	0.500000	2
r1bqkbnr/pppp1pp1/2n4p/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq -	f3d4	1.000000	6
r1b1kbnr/pppp1ppp/8/4q3/8/2N1P3/PPP2PPP/R1BQKB1R b KQkq -	f8b4	1.000000	2
r1b1k1nr/pppp1ppp/8/4q3/1b6/2N1P3/PPPB1PPP/R2QKB1R b KQkq -	g8f6	1.000000	2
rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -	g1f3	0.800000	5
rnbqk1nr/ppppppbp/6p1/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -	d2d4	0.750000	4
rn1qkbnr/ppp2ppp/3p4/4p3/2B1P1b1/5N2/PPPP1PPP/RNBQK2R w KQkq -	d2d3	0.500000	2
rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq -	e7e5	1.000000	3
rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPPBP/RNBQK1NR b KQkq -	d7d5	0.666667	3
rnbqkbnr/ppp3pp/3p4/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq -	e4f5	0.500000	2
rnbqkbnr/pppp1ppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b KQkq -	d4c3	1.000000	8
